Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
"Marianne Karlsmose, KD-politiker",MarianneKarlsmose,100063856775068,POLITICIAN,DK,"Mor til 3
stud. socialrådgiver
Landsformand for KD, Regionsrådsmedlem
kd.dk/marianne-karlsmose",2019-02-02 13:54:33,1960,2173,2022-10-19 21:53:24 CEST,2022-10-19,21:53:24,Photo,77,60,7,10,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063856775068/posts/501150832023472,"Besøg til VM i Skills i Silkeborg sammen med vores seje folketingskandidat i Silkeborg Marcus Sommerbirk, hvor vi fik god dialog om vigtigheden af at flere vælger en erhvervsuddannelse, indslag til DR Nyheder om mangel på sygeplejersker og vælgermøde i HK Herning var nogen af højdepunkterne i min dag. I morgen står den blandt andet på Debatten på DR2.",https://www.facebook.com/photo.php?fbid=501150498690172&set=a.221531073318784&type=3,,"jersker forlader hospitalerne Vi har nogle sygeplejersker, Formand, Kristendemokraterne der gerne vil Marianne Karlsmose","Photos from Marianne Karlsmose, KD-politiker's post",,,,,-1.32
Pia Olsen Dyhr,pia.olsen.dyhr,100044404390308,POLITICIAN,DK,Formand for SF,2008-11-19 09:16:45,83378,85386,2022-10-19 19:23:53 CEST,2022-10-19,19:23:53,Photo,627,242,218,26,4,3,1,121,6,6,,-,0,0,0,N/A,https://www.facebook.com/100044404390308/posts/660242465465894,"”Et sundhedsvæsen i frit fald” Det er grusomt at høre lægerne, beskrive hverdagen på landets sygehuse. Vi har en akut krise i vores sundhedsvæsen. Vi politikere kan ikke påstå, at vi ikke blev advaret. Sundhedspersonalet forsøgte at råbe op. Nu taler de med fødderne – tusindvis er draget over til det private, hvor både løn og arbejdsvilkår lokker. Vi må bare erkende, at Folketinget har sovet i timen. Sygeplejerskerne blev kaldt forkælede, da de krævede bedre vilkår. I SF har vi sat penge af til at både løn og rekruttering, så vi kan forsøge at vende flugten mod det private. Men vi må også erkende, at situation er så grel, at der er brug for en redningsplan for vores offentlige sundhedsvæsen. Vi kan ikke acceptere de ventelister og frustrationer, som patienter og pårørende i hele landet oplever nu.",https://www.facebook.com/photo.php?fbid=660243185465822&set=a.349705189852958&type=3,,De offentlige hospitaler mangler desperat operations- og anaestesisygeplejersker. Mange er skiftet til landets privathospitaler.,,,,,,-3.28
Inger Støjberg,IngerStojberg,100044534615134,POLITICIAN,DK,"Student fra Morsø Gymnasium
Uddannet fra InformationsAkademiet
MBA (Master of Business Administration), Aalborg Universitet, 2013
Redaktør på Viborg Bladet (1999-2001)
Amtsrådsmedlem (1994-2001)
Medlem af Folketinget (2001-
Beskæftigelsesminister(2009-2011)",2011-05-10 07:43:02,199931,217224,2022-10-19 19:22:43 CEST,2022-10-19,19:22:43,Photo,"2,708",2350,216,39,81,0,12,0,4,6,,-,0,0,0,N/A,https://www.facebook.com/100044534615134/posts/671227644371717,"Tak for besøget, Hillerød og Hundested. Ludvig siger tak for den gode opbakning i sin kreds. God aften ♥️ 🇩🇰",https://www.facebook.com/photo.php?fbid=671221667705648&set=a.400326228128528&type=3,,,Photos from Inger Støjberg's post,,,,,-3.63
Morten Messerschmidt,MortenMesserschmidt,100044379401397,POLITICIAN,DK,"Velkommen til den officielle Facebook-side for Morten Messerschmidt. 

",2010-11-11 15:16:21,75107,78456,2022-10-19 19:17:34 CEST,2022-10-19,19:17:34,Native Video,"3,601",2321,627,348,240,1,22,1,22,19,owned,Yes,46329,50078,0,00:02:13,https://www.facebook.com/100044379401397/posts/667505664738741,"Det er simpelthen for ringe, hvad vi tilbyder de ældre i Danmark. Mette Frederiksen lovede en ældrelov. Men det blev ikke til noget. Hun udpegede en socialminister, det havde det som sit personlige projekt at kritisere og genere Thyra Frank som ældreminister. Men Astrid Krag har selv gjort det langt værre. Det er simpelthen uværdigt. Som børn lærer vi at sige tak, når vi får noget. Derfor burde vi sige en langt større tak til de ældre, der har givet os det samfund, som vi i dag kan kalde vores. Der skal rettes op på alle de forsømmelser, som Mette Frederiksen og Astrid Krag har gennemført -og det gælder især de ældre. Derfor lancerer vi nu et nyt udspil specifikt målrettet de ældre på plejehjem. Fordi vores ældre fortjener det. Og fordi vi skal sørge for at sige ordentlig tak.",https://www.facebook.com/MortenMesserschmidt/videos/643397787397064/,,,,,,,,1.99
Sikandar Siddique,sikandar.siddique.politiker,100063606495233,POLITICIAN,DK," Former Member of Parliament (DK)
Political leader of Independent Greens
(Frie Grønne)",2021-01-08 10:52:15,17292,19149,2022-10-19 19:13:32 CEST,2022-10-19,19:13:32,Photo,147,119,8,3,15,0,2,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063606495233/posts/532788592184686,"Her til aften faciliterer Frie Grønne en samtale om klimaaktivisme og antiracisme, og hvorfor de to ting er uløseligt forbundet. Og det er altså helt seriøst fantastisk, at sådan en samtale kan samle så mange mennesker en onsdag aften. Tusind tak til alle, der er dukket op i aften. Og tusind tak til Litteraturhaus for at sætte rammerne for den vigtige samtale. 💚✊🏽",https://www.facebook.com/photo.php?fbid=532778195519059&set=a.237123328417882&type=3,,,,,,,,-4.95
Jakob Ellemann-Jensen,jakobellemann,100044564643750,POLITICIAN,DK,"Venstres formand
Medlem af Folketinget",2016-05-04 09:50:59,43668,51751,2022-10-19 19:05:48 CEST,2022-10-19,19:05:48,Status,"2,830",1547,872,48,8,8,39,234,49,25,,-,0,0,0,N/A,https://www.facebook.com/100044564643750/posts/651897606305722,"TV2 sender i morgen en hjerteskærende dokumentar om alvorlige svigt på plejehjemmet Nørremarken i Køge Kommune. Jeg er blevet forelagt dele af dokumentaren af TV2, og den måde, vores ældre medborgere bliver behandlet på er fuldstændig uacceptabel. Det gør mig vred, og det gør rigtig ondt. I Danmark skal man ikke være bange for at blive gammel. Det skal vi i et land som Danmark kunne levere på. Desværre er det ikke altid sådan, det er. Vi husker alle sammen TV-klippet med 90-årige Else Marie Larsen, som blev groft svigtet på plejehjemmet Kongsgården i Aarhus. Det er to år siden. Vi var alle forfærdede over det. Og vi skal stille os selv spørgsmålet: Hvordan kan ældre mennesker i Danmark stadig blive udsat for så uværdig en behandling? Det må være slut med undskyldninger. Det er på tide, at vi indser, at flere penge ikke bare løser problemerne i vores velfærd. Selvfølgelig betyder ressourcer noget, men det kan ikke stå alene. Vi skal ikke bare gøre mere af det samme og bevidstløst kaste penge efter systemet. Vi skal forny ældreplejen og gøre tingene anderledes og bedre. I Venstre ønsker vi, at der skal være bestyrelser på alle plejehjem, hvor pårørende, lokale ildsjæle, medarbejdere og ledelsen kan være ansvarlige for, at beboerne føler sig trygge og får kompetent pleje og omsorg. Samtidig skal de også sikre, at der er et godt og sundt arbejdsmiljø, hvor medarbejderne kan udvikle sig og har frihed til at bruge deres faglighed. Samtidig ønsker vi, at der skal være friplejehjem i alle kommuner, så vores ældre får et reelt frit valg og kan vælge noget andet end det kommunale tilbud. Ikke fordi det private er bedre end det offentlige, men fordi det er noget andet, og det er godt, at borgerne har noget at vælge imellem. Jeg tror på, at det kan være med til at løfte kvaliteten både på de kommunale plejehjem og på friplejehjemmene. Det er blot nogle af de tiltag på ældreområdet, som Venstre vil arbejde benhårdt for bliver til virkelighed, hvis vi får regeringsansvaret efter folketingsvalget. Jeg vil gerne understrege, at der er rigtig mange dygtige og engagerede medarbejdere i vores ældrepleje. Og der er mange ældre, som er trygge og tilfredse. Det er dejligt. Og tak til alle jer for jeres store indsats. Men vi kan ikke lukke øjnene for, at der er ældre, som bliver svigtet i Danmark. Det kan vi ikke være bekendt. Vi skal give vores ældre trygheden tilbage.",,,,,,,,,1.39
Jakob Ellemann-Jensen,jakobellemann,100044564643750,POLITICIAN,DK,"Venstres formand
Medlem af Folketinget",2016-05-04 09:50:59,43668,51751,2022-10-19 17:32:28 CEST,2022-10-19,17:32:28,Photo,"1,485",1303,116,25,11,0,21,0,7,2,,-,0,0,0,N/A,https://www.facebook.com/100044564643750/posts/651842892977860,"I Struer med Søren Gade, Stephanie Lose og Thomas Danielsen for at præsentere Venstres nye udspil om at styrke landdistrikterne. Vi skal have et stærkt og sammenhængende Danmark. 🇩🇰",https://www.facebook.com/photo.php?fbid=651838486311634&set=a.344944807001005&type=3,,VENSTRE VENSTRE ENSTRE VENSTRE VENSTRE VENSTRE VE E VENSTRE VENSTRE VENSTRE VENSTRE VENSTRE VENSTRE VENSSTRE ENS RE E S7 VENS ENST RE ሰርቆያክች VEN PANN,,,,,,-1.67
Lars Løkke Rasmussen,larsloekke,100044390410889,POLITICIAN,DK,"MF, tidligere statsminister, stifter af LøkkeFonden, initiativtager til Det Politiske Mødested",2009-03-17 11:35:11,212407,213391,2022-10-19 17:30:17 CEST,2022-10-19,17:30:17,Photo,"3,370",1964,1199,75,22,2,71,9,21,7,,-,0,0,0,N/A,https://www.facebook.com/100044390410889/posts/661256128697395,"De offentlige sygehuse styrtbløder personale. Det står værre til, end vi troede. 2.442 sygeplejersker har forladt deres ansættelse i regionerne på ét år, viser de seneste tal. Det giver kritiske tilstande. Aflyste operationer. Speciallæger, der bruges som assistenter. Operationstider sent om aftenen. Og en risiko for at uligheden i sundhed øges markant. Det er dybt alvorligt og kalder på øjeblikkelig handling. I Moderaterne har vi præsenteret et realistisk bud på, hvad vi skal gøre her og nu. Vi skal indføre et midlertidigt fuldtidstillæg på 2.500 kr. Et incitament til at overgå til fuldtid for den store gruppe af sundhedspersonale, der i dag arbejder på deltid. Og en anerkendelse af dem, der allerede arbejder fuld tid. Oprette en fast track uddannelse af et ‘tastekorps’ af sekretærer med ekspertise i regionernes IT-systemer. Det vil aflaste læger og sygeplejersker, så de ikke skal bruge tid foran skærmen. Opfordre forskere og administrativt personale til at træde ind i det patientrelaterede arbejde i samme omfang som under coronakrisen. Oprette en specialenhed for rekruttering og godkendelse af udenlandsk sundhedspersonale. Lige nu er der sagsbehandlingstider på op til 3 år, før potentielt kvalificeret arbejdskraft kan blive en del af arbejdsstyrken. Det skal gå hurtigere. Midlertidigt suspendere behandlingsgarantien i et år. Vi vil ikke fjerne patienternes ret til behandling, men give sygehusene mulighed for fleksibilitet for at genoprette situationen. Det er en redningsplan, som vi kan eksekvere. Nu. Når vi først har stoppet blødningen, kan vi derefter reformere sundhedsvæsenet, så det strukturelt er ‘gearet’ til fremtiden. Men vi skal starte med det akutte.",https://www.facebook.com/photo.php?fbid=661256078697400&set=a.349440306545647&type=3,,,,,,,,1.5
"Marianne Karlsmose, KD-politiker",MarianneKarlsmose,100063856775068,POLITICIAN,DK,"Mor til 3
stud. socialrådgiver
Landsformand for KD, Regionsrådsmedlem
kd.dk/marianne-karlsmose",2019-02-02 13:54:33,1960,2173,2022-10-19 16:09:40 CEST,2022-10-19,16:09:40,Live Video Scheduled,21,21,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063856775068/posts/6002220063143164,,https://www.facebook.com/events/6002220063143164/,,,Familie-valgeftermiddag i Herborg med Marianne Karlsmose (KD),"På lørdag kan du møde Marianne Karlsmose fra KD, der vil fortælle nyt fra valgkampen - og du vil selvfølgelig have rig mulighed for at tale med Kristendemokraternes formand.

Der er lagt op til en valgeftermiddag for hele familien, så børnene kan boltre sig i med boldspil og leg i hallen

- Og så vil der selvfølgelig være kakao, kaffe, boller og æblekage til ganen i løbet af eftermiddagen.

Alle er hjertelig velkommen til at lægge vejen forbi Kuben i Herborg. 
",,,,-2.57
Mette Frederiksen,mettefrederiksen.dk,100044576643050,POLITICIAN,DK,Statsminister og formand for Socialdemokratiet. Jeg fører ikke profilen som statsminister. ,2009-03-12 21:24:01,340103,384622,2022-10-19 15:32:38 CEST,2022-10-19,15:32:38,Photo,"6,725",4565,1163,87,454,9,363,2,31,51,,-,0,0,0,N/A,https://www.facebook.com/100044576643050/posts/668271754668707,"Skal vi ikke begynde at passe bedre på vores jordklode 🌍 Tænk, hvor fantastisk den er. Med alle de vidunderlige dyr og planter. Jeg elsker dyr, og jeg var så glad, da jeg tidligere i dag fik lov at hilse på girafferne i Odense ZOO. Verdens bestand af det høje majestætiske væsen er i tilbagegang. Så sørgeligt. Zoologiske haver er med til at minde os om, at vi skal passe godt på vores natur og på biodiversiteten. Både herhjemme og ude. Besøgte i øvrigt også et andet dyr i dag. Blev nærmest smidt for løverne. Mindede mig lidt om nogle af debatterne i Folketinget 🦁😂",https://www.facebook.com/photo.php?fbid=668271734668709&set=a.396459791849906&type=3,,,,,,,,-1.23
Sofie Carsten Nielsen,sofiecarstennielsen,100044593532150,POLITICIAN,DK,Medlem af Folketinget for Radikale Venstre.,2011-05-27 19:40:58,28697,31090,2022-10-19 14:41:01 CEST,2022-10-19,14:41:01,Photo,242,163,38,11,19,0,6,0,5,0,,-,0,0,0,N/A,https://www.facebook.com/100044593532150/posts/716343839862061,"""Jeg kan godt se, det er meget ærefuldt bare at sige det, man mener."" Tak Joachim B. Olsen for de ord i dag 😃 Hans tilføjelse lød: ""men det handler jo også om at få indflydelse."" Ja! Jeg anerkender, at det giver udfordringer ikke bare at følge med strømmen. Men for mig er det afgørende, at man står fast på sine principper og gør dét, man mener er rigtigt. Vores økonomiske 2030-plan er ifølge Joachim B. Olsen ""radikalt selvpineri"". Fordi vi ikke lefler for de store vælgergrupper, men ""med kirurgisk præcision spiller ud med ting, der pisser vælgerne af."" Tak for kaffe... sådan opfatter jeg nu ikke vores politik. Vi vil fx lette på skatten på arbejde for alle. Men indrømmet, jeg går ikke til valg på at love en gavebod til bestemte vælgergrupper. Det synes jeg faktisk er lidt hyklerisk at gøre - særligt i en tid med inflation og krig på europæisk jord. Jeg går til valg på, at vi har en ansvarlig og sammenhængende økonomi, så der er råd til fremtiden. Råd til at investere i børn og uddannelse og sikre kolleger nok til alle dem, der løber alt for stærkt. Og til de private virksomheder, der skriger på arbejdskraft. Og så er vi garant for høje klimaambitioner og grøn handling. Tak for snakken, Joachim. I kan høre hele samtalen via link i kommentarfeltet.",https://www.facebook.com/photo.php?fbid=716342956528816&set=a.440298364133278&type=3,,""" Jeg kan godt se, det er meget serefuldt bare at sige det, man mener. Men... -Joachim B. Olsen",,,,,,-1.49
Franciska Rosenkilde,rosenkildefranciska,100063651522703,POLITICIAN,DK,Politisk leder af Alternativet,2015-02-07 20:00:39,3951,4117,2022-10-19 14:33:44 CEST,2022-10-19,14:33:44,Native Video,638,369,75,38,148,0,5,0,2,1,owned,Yes,1827,2616,0,00:00:27,https://www.facebook.com/100063651522703/posts/532429378888775,"I går aftes var jeg i DRs MØD PARTIERNE hos Kåre Quist. Så du med? Vi kom bredt omkring, men vi nåede også at tale indgående om, hvordan Alternativet ønsker at sætte skub på den grønne omstilling på en socialt bæredygtig måde. Vi talte om, hvordan fremtidens arbejdsmarked skal til for mennesker først og økonomien dernæst - hvilket indenbærer en 30 timers arbejdsuge. Og så talte vi om landbrug. I dag offentliggjorde vi så vores landbrugsudspil. Og som I vil kunne se og høre i DR-programmet, så kunne jeg ikke lade være med at løfte lidt afsløret for, hvad udspillet handler om. En af Alternativets målsætninger er, at vi skal producere langt mindre kød. For CO2-aftrykket på den animalske produktion er ekstremt højt. Vi foreslår derfor, at produktionen reduceres, så vi kun producerer den mængde, vi selv kan spise. Hvis du er nysgerrig på vores udspil, så kan det læses her: https://alternativet.dk/nyheder/et-helt-andet-landbrug Og hvis du ikke nåede at se med på DR1 i går, så håber jeg, at du vil se med forsinkelse på dr.dk: https://www.dr.dk/drtv/episode/moed-partierne_-alternativet_343265",https://www.facebook.com/rosenkildefranciska/videos/638510771076457/,,,,,,,,7.78
Inger Støjberg,IngerStojberg,100044534615134,POLITICIAN,DK,"Student fra Morsø Gymnasium
Uddannet fra InformationsAkademiet
MBA (Master of Business Administration), Aalborg Universitet, 2013
Redaktør på Viborg Bladet (1999-2001)
Amtsrådsmedlem (1994-2001)
Medlem af Folketinget (2001-
Beskæftigelsesminister(2009-2011)",2011-05-10 07:43:02,199931,217224,2022-10-19 14:15:00 CEST,2022-10-19,14:15:00,Photo,225,181,27,5,6,0,3,0,1,2,,-,0,0,0,N/A,https://www.facebook.com/100044534615134/posts/671042744390207,Ses vi i morgen? 🇩🇰♥️,https://www.facebook.com/photo.php?fbid=671042657723549&set=a.400326228128528&type=3,,"GILLELEJE KOBENHAVN HELSINGOR STOJBERGS PROGRAM FOR 10:00 GILLELEJE HAVN 11:45 AXELTORVET, HELSINGOR 16:00 TORSDAG PASTAND MOD PASTAND, P3 18:00 GO AFTEN LIVE, TV2 19:30 GAESTEBARTENDER, GULDHORNENE VESTERGADE, KOBENHAVN DANMARKS DEMOKRATERNE",,,,,,-43.68
Søren Pape Poulsen,SorenPapePoulsen,100044117301725,POLITICIAN,DK,Formand for Det Konservative Folkeparti og tidligere justitsminister. ,2014-08-12 17:51:53,88627,92894,2022-10-19 13:26:34 CEST,2022-10-19,13:26:34,Photo,"5,126",3264,1044,646,26,4,99,3,34,6,,-,0,0,0,N/A,https://www.facebook.com/100044117301725/posts/666358911511346,"Det her er ikke underlagt tavshedspligt. Det her er ikke statshemmeligheder. Det her SKAL regeringen svare på inden 1. november, så danskerne kan gå oplyst til valg. Det står partierne i den borgerlige opposition sammen om at kræve. 1. Vil regeringen bekræfte, at Trine Bramsen har sagt til FE-chef Lars Findsen, at han skulle hjemsendes, fordi Bramsen skulle kunne tælle til 90 (mandater)? 2. Vil regeringen bekræfte, at Trine Bramsen har sagt til Lars Findsen og hans kolleger, at hun nok blev nødt til at give dem med den lille hammer, som omtalt på side 196 i bogen? 3. Vil regeringen bekræfte, at man har lagt en bevidst strategi om, at ministrene i regeringen skal lægge afstand til embedsværket i problematiske sager? 4. Og hvordan var Mette Frederiksen involveret i beslutningen om at hjemsende FE-ledelsen? Vi har simpelthen brug for afklaring om det her. Tro mig, regeringen kan godt svare, uden at bryde tavshedspligten. Hjælp mig meget gerne med at dele spørgsmålene! 🙏",https://www.facebook.com/photo.php?fbid=666358331511404&set=a.268372681309973&type=3,,,,,,,,1.49
Alex Vanopslagh,AlexLiberalAlliance,100044413450282,POLITICIAN,DK,Formand for Liberal Alliance ,2017-06-06 19:57:54,98156,114458,2022-10-19 13:12:57 CEST,2022-10-19,13:12:57,Native Video,"2,289",1937,213,81,38,0,15,0,3,2,owned,Yes,23231,25334,0,00:01:29,https://www.facebook.com/100044413450282/posts/682831739873935,Vi har taget de gode tider for givet i Danmark. Det har vi ikke længere råd til at gøre. Tiden kalder på liberale løsninger. Tiden kalder på Liberal Alliance.,https://www.facebook.com/AlexLiberalAlliance/videos/2018791768320936/,,,For økonomiens skyld,,,,,-1.75
Sikandar Siddique,sikandar.siddique.politiker,100063606495233,POLITICIAN,DK," Former Member of Parliament (DK)
Political leader of Independent Greens
(Frie Grønne)",2021-01-08 10:52:15,17292,19149,2022-10-19 12:52:30 CEST,2022-10-19,12:52:30,Photo,406,218,131,12,11,0,8,2,0,24,,-,0,0,0,N/A,https://www.facebook.com/100063606495233/posts/532477205549158,"40.000. Så mange af vores børn lever i fattigdom. Hver eneste dag skal deres forældre bekymre sig om, hvorvidt de kan få mad på bordet eller en vinterjakke, når det bliver koldt. Det er en katastrofe. En menneskelig falliterklæring i et af verdens rigeste lande. I Frie Grønne foreslår vi at afskaffe fattigdomsydelserne, så ingen børn holdes fast af fattigdommens tunge lænker. For grunden til den danske fattigdom er 25 år med politik, hvor det altid er de lavtlønnede og dem udenfor arbejdsmarkedet, der skal betale prisen for krisetider og jagten på økonomisk vækst. Man har indført nye grotesk lave ydelser, man har skåret i dagpengene, man har stillet utålelige krav til arbejdssøgende - alt sammen under sloganet: “Det skal kunne betale sig at arbejde.” Langt de fleste fattige børn i Danmark er minoritetsbørn, fordi vi har indført særlige ydelser, for vores brune borgere. Fattigdommen har fået en farve i Danmark. Helt grundlæggende mener vi i Frie Grønne, at vi skal skabe et beskæftigelsessystem med borgerløn, hvor vi er uafhængige af arbejdsmarkedet. Men indtil sådan en model er på plads, har vi en forpligtelse til at fjerne fattigdomsydelserne og genetablere et ordentligt sikkerhedsnet, som ikke driver nogen ud i fattigdom. Bryd fri af det system, der holder børn i fattigdom. Bryd med magten. Afskaf børnefattigdom. Stem Q. #brydfri",https://www.facebook.com/photo.php?fbid=532477132215832&set=a.237123328417882&type=3,,,,,,,,-1.79
Pernille Vermund,PernilleVermundNB,100044133429064,POLITICIAN,DK,Formand for Nye Borgerlige og medlem af Folketinget ,2019-11-13 14:36:58,102796,132584,2022-10-19 12:35:07 CEST,2022-10-19,12:35:07,Photo,"11,436",6415,1684,2313,938,9,54,1,6,16,,-,0,0,0,N/A,https://www.facebook.com/100044133429064/posts/648054266675682,"I går blev jeg igen spurgt, hvad jeg mener om World Economic Forum (WEF). Det korte svar er, at jeg er borgerlig og nationalsindet - og at jeg derfor er imod enhver form for globalistisk-socialistisk systemtænkning. WEFs bud på fremtiden er uendeligt langt fra, hvad jeg ønsker, står for og kæmper for. Ifølge WEF's forudsigelser vil vi intet eje, men leje. Vi skal tvinges til at spise meget mindre kød og erstatte det med insekter. Og så skal vi i fremtiden byde velkommen til endnu flere migranter. Globalistisk-socialistiske synspunkter, jeg som borgerlig aldrig kommer til at dele eller bakke op om. Det er derfor også tankevækkende, at Lars Løkke Rasmussen - manden der i øvrigt egenhændigt rejste til Marrakech for at underskrive FNs migrationserklæring - var den første europæiske statsleder, der underskrev en ret omfattende aftale med World Economic Forum. Siden har Løkke i det, han selv kalder ‘befrielsens øjeblik’, meldt sig ud af det borgerlige samarbejde, nægtet at pege på en ren borgerlig regering, stiftet et nyt midterparti og erklæret, at han og Moderaterne ønsker en regering med Socialdemokratiet og Radikale Venstre. Partier, som formentlig er mere end villige til at bakke op om Løkkes forkærlighed for den globalistisk-socialistiske dagsorden. Derfor er det også bekymrende at se, hvordan Løkke og hans parti vinder frem i målingerne. Mon hans vælgere ved, hvad han vil, hvis han igen kommer til magt? Og ved folk, hvad konsekvensen af globalistisk-socialistisk politik er? Hvis WEFs bud på fremtiden bliver virkelighed, så vil mennesker verden over blive mindre frie, eje mindre, og nationale kulturer og forskelle vil være fortid. Jeg kæmper for det stik modsatte. Jeg er borgerlig, og jeg elsker mit land. Derfor siger jeg kæmpe NEJ TAK til WEF.",https://www.facebook.com/photo.php?fbid=648053970009045&set=a.382515529896225&type=3,,,,,,,,2.04
Pernille Vermund,PernilleVermundNB,100044133429064,POLITICIAN,DK,Formand for Nye Borgerlige og medlem af Folketinget ,2019-11-13 14:36:58,102796,132584,2022-10-19 08:31:13 CEST,2022-10-19,08:31:13,Photo,"2,901",2411,278,139,46,0,9,1,9,8,,-,0,0,0,N/A,https://www.facebook.com/100044133429064/posts/647944656686643,"NEJ TAK TIL CO2-AFGIFT PÅ LANDBRUGET Danske landmænd er blandt de bedste i verden. De producerer nogle af verdens bedste fødevarer på trods af de ekstremt mange byrder, skatter og afgifter, som politikerne gennem årene har lagt ned over landbruget. Vi skal gøre det lettere for vores dygtige landmænd at producere gode fødevarer. Dansk landbrug skal ikke afvikles. Det skal udvikles ￼🇩🇰",https://www.facebook.com/photo.php?fbid=647942353353540&set=a.382515529896225&type=3,,,,,,,,-1.93
Pia Olsen Dyhr,pia.olsen.dyhr,100044404390308,POLITICIAN,DK,Formand for SF,2008-11-19 09:16:45,83378,85386,2022-10-19 07:38:54 CEST,2022-10-19,07:38:54,Photo,"1,018",798,143,31,33,0,3,1,0,9,,-,0,0,0,N/A,https://www.facebook.com/100044404390308/posts/659863412170466,"Jeg tror simpelthen den måde vi har indrettet vores samfund på, med alt lige fra kommercialisering og medier til karakterpres og hastighedskrav gennem skole og uddannelsessystem er en giftig cocktail, der slider for meget på vores børns og vores unges kræfter i hverdagen. Og så er der simpelthen tæret for meget på ressourcerne og den mentale styrke, når tilværelsen ramler. Sådan skriver jeg i dag i en kronik på POV. Link i kommentarspor.",https://www.facebook.com/photo.php?fbid=659863342170473&set=a.349705203186290&type=3,,,,,,,,-2.02
Franciska Rosenkilde,rosenkildefranciska,100063651522703,POLITICIAN,DK,Politisk leder af Alternativet,2015-02-07 20:00:39,3951,4117,2022-10-19 06:49:16 CEST,2022-10-19,06:49:16,Photo,"1,203",783,98,124,181,1,5,0,11,0,,-,0,0,0,N/A,https://www.facebook.com/100063651522703/posts/532136808918032,"Vi skal have et helt andet landbrug! I Alternativet elsker vi det danske landbrug. Så meget, at vi ønsker, at det skal have en plads i fremtidens Danmark. Hvis vi skal lykkes med at omstille til et bæredygtigt samfund, så kræver det en revolution af landbruget og vores måde at producere mad på. Derfor præsenterer vi i dag et fødevare- og landbrugsudspil: ET HELT ANDET LANDBRUG Vores plan for fremtidens landbrug indeholder tre overordnede målsætninger. For det første skal vi kun producere det kød, vi selv kan spise. Det svarer til en reduktion på 86 procent af vores dyrefabrikker. Det vil isoleret set sikre 8,2 millioner tons CO2-reduktioner. For det andet skal vi omstille til et 100 procent regenerativt landbrug. Et landbrug, der ikke leder gift ud i naturen eller i grundvandet. Og som ser naturen som medspiller - ikke som noget, der skal tromles ned eller fældes. Tværtimod. For det tredje skal de dyr, vi holder, have det markant bedre. Vi skal helt udfase den konventionelle husdyrproduktion. For alt for mange dyr lever i dag et mareridt i landbruget. Dyrene skal i stedet have plads og adgang til det fri. Udspillet indeholder mange konkrete forslag. Om bedre dyrevelfærd, mindre madspil, flere grønne offentlige måltider, om omstillingshjælp til jordbrugere og meget andet. Læs med her: https://alternativet.dk/nyheder/et-helt-andet-landbrug Og del gerne, hvis du også mener, at vi har brug for et helt andet landbrug. 💚",https://www.facebook.com/photo.php?fbid=532136505584729&set=a.239194711545578&type=3,,,,,,,,5.16
Inger Støjberg,IngerStojberg,100044534615134,POLITICIAN,DK,"Student fra Morsø Gymnasium
Uddannet fra InformationsAkademiet
MBA (Master of Business Administration), Aalborg Universitet, 2013
Redaktør på Viborg Bladet (1999-2001)
Amtsrådsmedlem (1994-2001)
Medlem af Folketinget (2001-
Beskæftigelsesminister(2009-2011)",2011-05-10 07:43:02,199909,217215,2022-10-18 22:18:12 CEST,2022-10-18,22:18:12,Native Video,783,647,95,18,12,0,5,1,2,3,owned,Yes,14426,15953,0,00:00:45,https://www.facebook.com/100044534615134/posts/670610827766732,I dag har jeg tilbragt en hyggelig aften med Søren Pape Poulsen. Her var der både plads til smil og seriøse politiske spørgsmål over en kold sodavand og et stykke smørrebrød ♥️🇩🇰,https://www.facebook.com/IngerStojberg/videos/1105080986869187/,,,,,,,,-5.63
