Parti,Total Interactions,Likes,All Reactions,Comments,Shares,Owned Post Views,Owned Views from Shares,Owned Total Views,Views on Shared Posts,Views While Live,Video Time,3-Min+ Videos,Loves,Wows,Hahas,Sads,Angrys,Cares,Total Posts,Photo Posts,Link Posts,Status Posts,Owned Video Posts,Shared Video Posts,Other Video Posts,Page Likes,Page Growth,Page Followers,Page Follower Growth,Antal sider,Month,Totale interaktioner per opslag,Kommentarer per opslag,Delinger per opslag,Videovisninger per videoopslag,Interaktion per post per følger,Interaktion per følger,Angry per opslag,Love per opslag,Reaktioner per post,Andel foto post af total,Andel link post af total,Andel tekst post af total,Andel owned video post af total,Andel delte video post af total,Andel andre video post af total,Blok
Konservative,116905,83283,95085,17591,4229,88558,31821,120379,15286,531,17,0,3758,975,1453,1835,3781,0,1047,469,437,73,26,24,18,381274,1979,412816,1718,478,20200115,112,17,04,3406,0,0,"3,6","3,6",91,"44,79%","41,74%","6,97%","2,48%","2,29%","1,72%",Blå blok
Kristendemokraterne,7524,4698,5174,723,1627,23209,93726,116935,9740,830,16,2,360,11,54,40,11,0,140,49,29,8,14,35,5,21633,266,22395,302,26,20200115,54,05,12,1658,0,0,"0,1","2,6",37,"35,00%","20,71%","5,71%","10,00%","25,00%","3,57%",Blå blok
Liberal Alliance,53253,40369,43996,7404,1853,668567,39414,707981,14922,0,32,3,1760,193,1066,213,386,9,395,120,182,36,15,41,1,275265,655,288494,841,185,20200115,135,19,05,44571,0,0,"1,0","4,5",111,"30,38%","46,08%","9,11%","3,80%","10,38%","0,25%",Blå blok
Løsgænger,1101,339,610,485,6,13077,506,13583,0,0,2,0,11,3,223,14,20,0,7,3,1,0,3,0,0,23991,-135,23901,-136,2,20200115,157,69,01,4359,0,0,"2,9","1,6",87,"42,86%","14,29%","0,00%","42,86%","0,00%","0,00%",Andet
Moderaterne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7294,-6,7335,-8,5,20200115,0,0,0,0,0,0,"0,0","0,0",0,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",Blå blok
Nye Borgerlige,418508,274714,322483,45279,50746,3500856,1536753,5037609,86315,0,77,6,22636,1818,9083,1678,12443,111,769,309,229,19,43,139,30,202673,10504,234166,11348,113,20200115,544,59,66,81415,0,02,"16,2","29,4",419,"40,18%","29,78%","2,47%","5,59%","18,08%","3,90%",Blå blok
Radikale Venstre,83739,51687,63410,17434,2895,349331,74923,424254,20595,32160,30,1,4187,450,2670,2021,2394,1,949,412,351,81,59,38,8,607632,416,620434,1053,236,20200115,88,18,03,5921,0,0,"2,5","4,4",67,"43,41%","36,99%","8,54%","6,22%","4,00%","0,84%",Rød blok
Socialdemokratiet,446342,322244,366973,59726,19643,3083990,773107,3857097,52787,7060,84,3,29602,1969,3704,4846,4335,273,2257,1202,713,100,88,145,9,1129928,7454,1151303,8101,563,20200115,198,26,09,35045,0,0,"1,9","13,1",163,"53,26%","31,59%","4,43%","3,90%","6,42%","0,40%",Rød blok
Socialistisk Folkeparti,274810,136115,170374,25973,78463,122906,68455,191361,11134,19,17,1,15947,785,1774,8286,7223,244,1039,508,379,79,25,47,1,504921,5258,503384,5563,325,20200115,264,25,76,4916,0,01,"7,0","15,4",164,"48,89%","36,48%","7,60%","2,41%","4,52%","0,10%",Rød blok
Veganerpartiet,14822,6670,10528,3154,1140,37036,21697,58733,5960,30816,161,3,2235,53,140,901,529,0,134,22,68,1,33,9,1,218,11,10144,463,8,20200115,111,24,09,1122,0,01,"4,0","16,7",79,"16,42%","50,75%","0,75%","24,63%","6,72%","0,75%",Rød blok
Venstre,248061,178897,207656,30244,10161,432130,69531,501661,49690,642,96,12,10417,1183,3632,2300,11222,5,1922,901,698,115,72,129,7,1110513,1503,1114814,1773,614,20200115,129,16,05,6002,0,0,"5,8","5,4",108,"46,88%","36,32%","5,98%","3,75%","6,71%","0,36%",Blå blok
Alternativet,49966,29234,38187,7092,4687,57220,79828,137048,16709,11093,69,9,4707,386,855,1388,1614,3,987,253,575,45,21,75,18,220205,1192,221134,1340,119,20200215,51,07,05,2725,0,0,"1,6","4,8",39,"25,63%","58,26%","4,56%","2,13%","7,60%","1,82%",Rød blok
Andet,41301,23216,31506,6005,3790,620494,60768,681262,2141,366,69,8,1932,308,874,1404,3761,11,608,137,356,23,18,14,60,109285,382,118054,1050,115,20200215,68,10,06,34472,0,0,"6,2","3,2",52,"22,53%","58,55%","3,78%","2,96%","2,30%","9,87%",Andet
Danmarksdemokraterne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20200215,0,0,0,0,0,0,"0,0","0,0",0,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",Blå blok
Dansk Folkeparti,555777,279510,387190,95416,73171,1135170,493403,1628573,66895,29600,31,0,10104,2748,8910,5551,80353,14,1471,452,816,42,40,106,15,649819,1429,642089,2264,154,20200215,378,65,50,28379,0,01,"54,6","6,9",263,"30,73%","55,47%","2,86%","2,72%","7,21%","1,02%",Blå blok
Enhedslisten,98345,62287,76865,13644,7836,34973,47399,82372,13439,22,34,4,6198,536,630,2944,4267,3,970,343,503,74,14,28,8,407371,1256,408583,1448,163,20200215,101,14,08,2498,0,0,"4,4","6,4",79,"35,36%","51,86%","7,63%","1,44%","2,89%","0,82%",Rød blok
Frie Grønne,16,9,9,0,7,0,0,0,29,0,0,0,0,0,0,0,0,0,5,2,2,0,0,1,0,190,-1,188,-1,2,20200215,03,0,01,0,0,0,"0,0","0,0",02,"40,00%","40,00%","0,00%","0,00%","20,00%","0,00%",Rød blok
Konservative,128173,94191,105717,17500,4956,103394,25946,129340,6901,748,36,2,4730,716,1085,1446,3545,4,1192,510,504,75,51,46,6,383912,2248,415611,2252,478,20200215,108,15,04,2027,0,0,"3,0","4,0",89,"42,79%","42,28%","6,29%","4,28%","3,86%","0,50%",Blå blok
Kristendemokraterne,7845,5570,6103,575,1167,5284,6475,11759,3983,761,2,0,344,21,20,78,70,0,149,81,44,8,6,9,1,21728,96,22499,104,26,20200215,53,04,08,881,0,0,"0,5","2,3",41,"54,36%","29,53%","5,37%","4,03%","6,04%","0,67%",Blå blok
Liberal Alliance,70945,51414,57734,9537,3674,1108626,198848,1307474,67737,0,72,9,2502,316,2001,462,1032,7,404,105,177,32,19,68,3,277238,1770,290801,1973,185,20200215,176,24,09,58349,0,0,"2,6","6,2",143,"25,99%","43,81%","7,92%","4,70%","16,83%","0,74%",Blå blok
Løsgænger,2501,1894,2198,295,8,4030,0,4030,0,0,0,0,253,7,34,6,4,0,9,4,2,2,1,0,0,23890,-98,23811,-89,2,20200215,278,33,01,4030,0,0,"0,4","28,1",244,"44,44%","22,22%","22,22%","11,11%","0,00%","0,00%",Andet
Moderaterne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7271,-23,7312,-23,5,20200215,0,0,0,0,0,0,"0,0","0,0",0,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",Blå blok
Nye Borgerlige,434448,295101,343079,39599,51770,3879731,1256215,5135946,15903,0,78,5,22831,1633,8745,2123,12512,134,809,366,212,28,45,143,15,213307,10269,246953,12349,113,20200215,537,49,64,86216,0,02,"15,5","28,2",424,"45,24%","26,21%","3,46%","5,56%","17,68%","1,85%",Blå blok
Radikale Venstre,109237,63946,82839,21714,4684,331204,74357,405561,7960,10149,43,5,5507,1071,3274,3510,5528,3,841,351,316,66,39,58,11,609086,1248,622178,1746,236,20200215,130,26,06,8492,0,0,"6,6","6,6",99,"41,74%","37,57%","7,85%","4,64%","6,90%","1,31%",Rød blok
Socialdemokratiet,268471,200022,226004,32892,9575,1100787,230850,1331637,32023,5527,93,11,13107,988,6120,2865,2893,9,1889,977,649,78,98,76,11,1137503,3533,1155950,4318,563,20200215,142,17,05,11233,0,0,"1,5","6,9",120,"51,72%","34,36%","4,13%","5,19%","4,02%","0,58%",Rød blok
Socialistisk Folkeparti,172748,116516,137134,17790,17824,127239,36518,163757,4615,14,87,6,12412,859,2535,2090,2716,6,1099,514,346,84,108,42,5,507449,2360,506021,2444,325,20200215,157,16,16,1178,0,0,"2,5","11,3",125,"46,77%","31,48%","7,64%","9,83%","3,82%","0,45%",Rød blok
Veganerpartiet,14786,6518,11196,1980,1610,33499,34849,68348,2668,17283,147,5,2131,76,87,1337,1046,1,133,21,73,0,28,7,4,222,3,10716,551,8,20200215,111,15,12,1196,0,01,"7,9","16,0",84,"15,79%","54,89%","0,00%","21,05%","5,26%","3,01%",Rød blok
Venstre,174587,117822,138876,23749,11962,147280,34755,182035,32328,441,56,6,4551,1010,4044,2214,9233,2,1862,918,731,89,51,68,5,1111638,687,1116430,1108,614,20200215,94,13,06,2888,0,0,"5,0","2,4",75,"49,30%","39,26%","4,78%","2,74%","3,65%","0,27%",Blå blok
Alternativet,40183,21483,27197,4544,8442,12838,8368,21206,4350,168,15,3,3939,210,333,729,502,1,1015,331,564,43,7,53,17,214413,606,215350,783,116,20200315,40,04,08,1834,0,0,"0,5","3,9",27,"32,61%","55,57%","4,24%","0,69%","5,22%","1,67%",Rød blok
Andet,46425,29021,37014,4700,4711,19637,1256,20893,4317,0,2,0,3452,237,369,1736,2191,8,628,148,391,35,4,16,34,110174,841,119176,1068,115,20200315,74,07,08,4909,0,0,"3,5","5,5",59,"23,57%","62,26%","5,57%","0,64%","2,55%","5,41%",Andet
Danmarksdemokraterne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20200315,0,0,0,0,0,0,"0,0","0,0",0,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",Blå blok
Dansk Folkeparti,596246,326998,421594,96676,77976,576334,400535,976869,104009,5204,53,7,9229,2725,9583,3621,69425,13,1638,531,865,86,45,100,11,651637,1723,645192,3003,154,20200315,364,59,48,12807,0,01,"42,4","5,6",257,"32,42%","52,81%","5,25%","2,75%","6,11%","0,67%",Blå blok
Enhedslisten,196279,124153,149336,24603,22340,112405,52179,164584,22866,3150,25,1,12169,1008,1217,1795,8994,0,1396,612,605,90,23,55,11,411409,4016,414759,4481,163,20200315,141,18,16,4887,0,0,"6,4","8,7",107,"43,84%","43,34%","6,45%","1,65%","3,94%","0,79%",Rød blok
Frie Grønne,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,192,2,190,2,2,20200315,01,0,0,0,0,0,"0,0","0,0",01,"66,67%","33,33%","0,00%","0,00%","0,00%","0,00%",Rød blok
Konservative,110789,83173,92845,11902,6042,164578,62332,226910,18874,2007,157,9,5090,521,1553,877,1629,2,1257,633,374,82,58,100,10,386588,2206,418493,2377,478,20200315,88,09,05,2838,0,0,"1,3","4,1",74,"50,36%","29,75%","6,52%","4,61%","7,96%","0,80%",Blå blok
Kristendemokraterne,7124,5032,5354,437,1333,8823,18759,27582,3639,673,3,0,266,11,15,22,8,0,218,156,32,1,11,18,0,21973,239,22751,251,26,20200315,33,02,06,802,0,0,"0,0","1,2",25,"71,56%","14,68%","0,46%","5,05%","8,26%","0,00%",Blå blok
Liberal Alliance,77586,58114,64576,9753,3257,648520,96497,745017,31612,13542,39,9,1995,278,3049,280,858,2,374,116,158,43,16,40,1,278853,1537,292557,1704,185,20200315,207,26,09,40533,0,0,"2,3","5,3",173,"31,02%","42,25%","11,50%","4,28%","10,70%","0,27%",Blå blok
Løsgænger,1296,606,790,484,22,6803,755,7558,0,0,6,0,15,5,111,2,51,0,20,5,4,6,5,0,0,24387,-166,24355,-158,4,20200315,65,24,01,1361,0,0,"2,6","0,8",40,"25,00%","20,00%","30,00%","25,00%","0,00%","0,00%",Andet
Moderaterne,608,493,511,86,11,0,0,0,0,0,0,0,7,1,4,4,2,0,3,0,0,3,0,0,0,7256,-14,7291,-21,5,20200315,203,29,04,0,0,0,"0,7","2,3",170,"0,00%","0,00%","100,00%","0,00%","0,00%","0,00%",Blå blok
Nye Borgerlige,535692,369623,421587,52245,61860,3573249,1357136,4930385,32073,0,92,16,25225,2582,7766,1425,14872,94,967,454,261,35,47,157,13,231823,17817,269856,22152,113,20200315,554,54,64,76027,0,02,"15,4","26,1",436,"46,95%","26,99%","3,62%","4,86%","16,24%","1,34%",Blå blok
Radikale Venstre,113286,74246,87474,20322,5490,681370,72108,753478,55663,106987,81,9,8108,298,1293,1522,2003,4,883,380,273,71,98,53,8,610434,1346,624358,1801,236,20200315,128,23,06,6953,0,0,"2,3","9,2",99,"43,04%","30,92%","8,04%","11,10%","6,00%","0,91%",Rød blok
Socialdemokratiet,739002,522744,602000,75232,61770,1774596,1218627,2993223,73713,34749,168,15,68584,1276,3187,3534,2613,62,2500,1263,726,192,131,162,26,1203137,65547,1237213,81030,563,20200315,296,30,25,13547,0,01,"1,1","27,4",241,"50,52%","29,04%","7,68%","5,24%","6,48%","1,04%",Rød blok
Socialistisk Folkeparti,208874,144349,166946,22312,19616,301330,161756,463086,8784,1949,52,4,15938,459,1139,2427,2630,4,1326,775,282,133,44,85,7,517992,3358,518855,3664,326,20200315,158,17,15,6848,0,0,"2,0","12,0",126,"58,45%","21,27%","10,03%","3,32%","6,41%","0,53%",Rød blok
Veganerpartiet,23075,7949,13294,6081,3700,104939,180267,285206,5316,28741,22,1,2374,74,204,1228,1461,4,118,29,47,1,25,9,7,250,27,11818,1060,8,20200315,196,52,31,4198,0,02,"12,4","20,1",113,"24,58%","39,83%","0,85%","21,19%","7,63%","5,93%",Rød blok
Venstre,231562,178233,191114,26670,13778,588425,272805,861230,55885,29947,100,9,5078,688,1991,747,4360,17,2087,1058,671,115,70,165,8,1116179,4133,1121554,4802,614,20200315,111,13,07,8406,0,0,"2,1","2,4",92,"50,69%","32,15%","5,51%","3,35%","7,91%","0,38%",Blå blok
Alternativet,18816,11175,13975,2134,2707,10205,10480,20685,6669,34,30,2,1774,145,333,369,173,6,797,188,503,19,9,59,19,214809,354,215811,426,116,20200415,24,03,03,1134,0,0,"0,2","2,2",18,"23,59%","63,11%","2,38%","1,13%","7,40%","2,38%",Rød blok
Andet,55163,28219,39041,10981,5141,828335,146410,974745,6777,21297,68,5,3107,457,1408,943,4878,29,523,123,297,23,32,26,22,110953,374,120736,1115,115,20200415,105,21,10,25885,0,0,"9,3","5,9",75,"23,52%","56,79%","4,40%","6,12%","4,97%","4,21%",Andet
Danmarksdemokraterne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20200415,0,0,0,0,0,0,"0,0","0,0",0,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",Blå blok
Dansk Folkeparti,499306,243225,338676,91575,69055,628069,244738,872807,95927,23891,49,2,9142,2842,6610,4949,71877,31,1489,440,783,75,51,125,15,653509,1748,647622,2143,154,20200415,335,62,46,12315,0,01,"48,3","6,1",227,"29,55%","52,59%","5,04%","3,43%","8,39%","1,01%",Blå blok
Enhedslisten,207792,139222,163790,27328,16674,107890,71255,179145,55797,29616,43,5,12653,872,1579,2683,6753,28,1415,541,679,80,36,75,4,414847,3260,418798,3887,163,20200415,147,19,12,2997,0,01,"4,8","8,9",116,"38,23%","47,99%","5,65%","2,54%","5,30%","0,28%",Rød blok
Frie Grønne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,-1,189,-1,2,20200415,0,0,0,0,0,0,"0,0","0,0",0,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",Rød blok
Konservative,111525,82974,92357,14068,5100,123497,57301,180798,12803,684,49,3,5355,662,1249,594,1505,18,1185,644,354,59,44,69,15,388846,2177,421074,2450,478,20200415,94,12,04,2807,0,0,"1,3","4,5",78,"54,35%","29,87%","4,98%","3,71%","5,82%","1,27%",Blå blok
Kristendemokraterne,5958,4066,4476,597,885,7993,10316,18309,2372,1080,7,1,344,18,26,12,10,0,134,80,38,1,5,10,0,22049,65,22824,63,26,20200415,44,04,07,1599,0,0,"0,1","2,6",33,"59,70%","28,36%","0,75%","3,73%","7,46%","0,00%",Blå blok
Liberal Alliance,98392,74271,80709,13198,4485,705419,71461,776880,11688,78,29,4,2697,287,2829,133,480,12,438,171,156,48,13,46,4,280995,2087,295088,2496,185,20200415,225,30,10,54263,0,0,"1,1","6,2",184,"39,04%","35,62%","10,96%","2,97%","10,50%","0,91%",Blå blok
Løsgænger,940,686,785,135,20,0,0,0,0,0,0,0,95,1,1,1,1,0,10,8,1,1,0,0,0,24309,-80,24275,-82,4,20200415,94,14,02,0,0,0,"0,1","9,5",79,"80,00%","10,00%","10,00%","0,00%","0,00%","0,00%",Andet
Moderaterne,856,667,746,96,14,0,0,0,0,0,0,0,17,12,45,1,4,0,4,1,1,2,0,0,0,7227,-23,7268,-22,5,20200415,214,24,04,0,0,0,"1,0","4,3",187,"25,00%","25,00%","50,00%","0,00%","0,00%","0,00%",Blå blok
Nye Borgerlige,432093,301396,343159,44766,44168,1858338,1022209,2880547,17600,0,75,8,23938,2202,2761,860,11877,125,701,322,191,23,33,130,2,242664,10538,282986,12569,113,20200415,616,64,63,56313,0,02,"16,9","34,2",490,"45,93%","27,25%","3,28%","4,71%","18,54%","0,29%",Blå blok
Radikale Venstre,143914,83884,108506,29023,6385,466581,77935,544516,18093,74064,109,18,11182,391,5943,3329,3713,64,783,331,240,77,99,31,5,611589,1149,626373,1914,236,20200415,184,37,08,4713,0,0,"4,7","14,3",139,"42,27%","30,65%","9,83%","12,64%","3,96%","0,64%",Rød blok
Socialdemokratiet,725355,510964,591791,77250,56314,2523985,905194,3429179,51216,22517,187,16,66764,1559,3673,4831,3533,467,2098,1000,687,133,123,142,13,1248465,44099,1292925,51370,563,20200415,346,37,27,20520,0,01,"1,7","31,8",282,"47,66%","32,75%","6,34%","5,86%","6,77%","0,62%",Rød blok
Socialistisk Folkeparti,361257,225550,263103,51946,46208,138353,82693,221046,9283,647,76,9,21833,1683,2668,5580,5764,25,1110,577,353,101,36,28,15,529470,11464,531397,12478,326,20200415,325,47,42,3843,0,01,"5,2","19,7",237,"51,98%","31,80%","9,10%","3,24%","2,52%","1,35%",Rød blok
Veganerpartiet,14490,5365,9325,3833,1332,38714,48583,87297,5425,17783,113,5,1605,89,153,1271,834,8,78,22,29,1,18,7,1,1195,9,13613,552,8,20200415,186,49,17,2151,0,01,"10,7","20,6",120,"28,21%","37,18%","1,28%","23,08%","8,97%","1,28%",Rød blok
Venstre,210525,146963,165647,32405,12473,328264,66409,394673,72559,53045,41,5,8399,725,2489,961,6022,88,1689,865,610,65,57,78,14,1119720,3423,1125716,3924,614,20200415,125,19,07,5759,0,0,"3,6","5,0",98,"51,21%","36,12%","3,85%","3,37%","4,62%","0,83%",Blå blok
Alternativet,33204,19355,24562,4328,4314,66930,86610,153540,28993,11584,100,11,3024,222,203,628,836,294,985,266,518,34,31,131,5,214916,104,216014,191,116,20200515,34,04,04,2159,0,0,"0,9","3,1",25,"27,01%","52,59%","3,45%","3,15%","13,30%","0,51%",Rød blok
Andet,71485,32252,47195,17589,6701,765993,126656,892649,6997,66596,119,8,3942,455,1502,688,7818,538,523,136,301,16,40,24,6,112001,1035,123153,2316,115,20200515,137,34,13,19150,0,01,"15,0","7,5",90,"26,00%","57,55%","3,06%","7,65%","4,59%","1,15%",Andet
Danmarksdemokraterne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20200515,0,0,0,0,0,0,"0,0","0,0",0,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",Blå blok
Dansk Folkeparti,710999,370579,496386,124879,89734,1819633,932355,2751988,186796,31176,114,9,17071,3559,9254,6791,87059,2073,1761,589,773,69,85,229,16,655710,2145,651602,3655,154,20200515,404,71,51,21407,0,01,"49,4","9,7",282,"33,45%","43,90%","3,92%","4,83%","13,00%","0,91%",Blå blok
Enhedslisten,217213,110596,143819,25938,47456,233762,40661,274423,34576,6374,80,15,9890,1756,2367,2445,15131,1634,1336,559,568,66,47,77,19,420989,4195,423562,4568,163,20200515,163,19,36,4974,0,01,"11,3","7,4",108,"41,84%","42,51%","4,94%","3,52%","5,76%","1,42%",Rød blok
Frie Grønne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,193,2,191,2,2,20200515,0,0,0,0,0,0,"0,0","0,0",0,"100,00%","0,00%","0,00%","0,00%","0,00%","0,00%",Rød blok
Konservative,142769,103946,118922,18950,4897,168607,41583,210190,16415,3061,85,3,7395,940,1835,1261,2652,893,1310,704,408,58,43,83,14,391790,2768,424123,2838,478,20200515,109,14,04,3921,0,0,"2,0","5,7",91,"53,74%","31,15%","4,43%","3,28%","6,34%","1,07%",Blå blok
Kristendemokraterne,6283,4390,4884,566,833,6446,11809,18255,3759,0,7,1,363,8,16,21,8,78,126,58,41,6,7,9,5,22137,49,22973,53,26,20200515,50,04,07,921,0,0,"0,1","2,9",39,"46,03%","32,54%","4,76%","5,56%","7,14%","3,97%",Blå blok
Liberal Alliance,117289,84056,95273,14760,7256,1149837,340093,1489930,14096,6278,48,6,5148,363,4404,316,786,200,452,163,149,53,27,60,0,285857,4744,300941,5773,185,20200515,259,33,16,42587,0,0,"1,7","11,4",211,"36,06%","32,96%","11,73%","5,97%","13,27%","0,00%",Blå blok
Løsgænger,404,230,282,116,6,0,0,0,0,0,0,0,8,6,26,8,4,0,16,10,6,0,0,0,0,24216,-92,24182,-91,4,20200515,25,07,0,0,0,0,"0,3","0,5",18,"62,50%","37,50%","0,00%","0,00%","0,00%","0,00%",Andet
Moderaterne,156,92,105,50,1,0,0,0,0,0,0,0,0,1,12,0,0,0,1,0,0,1,0,0,0,7213,-16,7253,-14,5,20200515,156,50,01,0,0,0,"0,0","0,0",105,"0,00%","0,00%","100,00%","0,00%","0,00%","0,00%",Blå blok
Nye Borgerlige,610157,400910,477334,68461,64362,5775598,1914570,7690168,15554,0,109,14,30776,3401,15097,3203,20700,3247,864,352,224,26,53,200,9,260523,17507,305936,22525,113,20200515,706,79,74,108974,0,02,"24,0","35,6",552,"40,74%","25,93%","3,01%","6,13%","23,15%","1,04%",Blå blok
Radikale Venstre,177517,113115,140081,30051,7385,662552,80959,743511,21097,17033,90,9,14758,995,3461,2067,3709,1976,935,454,265,98,63,50,5,614287,2691,630201,3753,236,20200515,190,32,08,10517,0,0,"4,0","15,8",150,"48,56%","28,34%","10,48%","6,74%","5,35%","0,53%",Rød blok
Socialdemokratiet,756802,554461,648338,82932,25532,1775183,629166,2404349,62372,34613,582,75,55245,1462,5178,2117,2841,27034,2551,1211,695,127,223,249,46,1272019,20390,1318173,24238,563,20200515,297,33,10,7960,0,01,"1,1","21,7",254,"47,47%","27,24%","4,98%","8,74%","9,76%","1,80%",Rød blok
Socialistisk Folkeparti,277113,181927,220187,40611,16315,516702,119166,635868,21210,27949,260,33,19348,894,2829,4097,7494,3598,1149,543,290,84,131,85,16,535349,3649,535553,3854,326,20200515,241,35,14,3944,0,01,"6,5","16,8",192,"47,26%","25,24%","7,31%","11,40%","7,40%","1,39%",Rød blok
Veganerpartiet,14687,5029,8141,5310,1236,126331,100515,226846,4157,84533,32,2,2140,37,285,255,252,143,107,22,38,1,37,6,3,12654,23,14845,1173,8,20200515,137,50,12,3414,0,01,"2,4","20,0",76,"20,56%","35,51%","0,93%","34,58%","5,61%","2,80%",Rød blok
Venstre,386087,253032,291700,67004,27383,1031090,263288,1294378,65812,60732,49,2,15320,1218,4197,2138,11383,4412,1861,849,708,99,82,110,13,1126536,6433,1134200,7691,614,20200515,207,36,15,12574,0,0,"6,1","8,2",157,"45,62%","38,04%","5,32%","4,41%","5,91%","0,70%",Blå blok
Alternativet,28786,18182,22159,4045,2582,50247,39211,89458,24138,4535,61,8,2442,211,256,278,535,255,851,217,471,24,20,109,10,214525,-394,215660,-348,116,20200615,34,05,03,2512,0,0,"0,6","2,9",26,"25,50%","55,35%","2,82%","2,35%","12,81%","1,18%",Rød blok
Andet,60913,32869,45708,10361,4844,599763,215804,815567,6058,24263,39,5,3860,389,1971,621,5523,475,528,154,276,20,40,30,8,121226,695,131839,1223,115,20200615,115,20,09,14994,0,0,"10,5","7,3",87,"29,17%","52,27%","3,79%","7,58%","5,68%","1,52%",Andet
Danmarksdemokraterne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20200615,0,0,0,0,0,0,"0,0","0,0",0,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",Blå blok
Dansk Folkeparti,796303,412192,571921,127429,96953,1732394,770646,2503040,89238,29305,124,11,16868,3997,12255,8199,116839,1571,1936,718,815,76,104,201,22,658106,2147,655519,3657,154,20200615,411,66,50,16658,0,01,"60,4","8,7",295,"37,09%","42,10%","3,93%","5,37%","10,38%","1,14%",Blå blok
Enhedslisten,206485,124890,155381,37960,13144,435912,346307,782219,68943,3227,79,8,13666,1288,3442,1892,8337,1866,1186,474,484,72,42,109,5,425310,4256,429211,5465,163,20200615,174,32,11,10379,0,0,"7,0","11,5",131,"39,97%","40,81%","6,07%","3,54%","9,19%","0,42%",Rød blok
Frie Grønne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,2,193,2,2,20200615,0,0,0,0,0,0,"0,0","0,0",0,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",Rød blok
Konservative,288437,201799,231239,36888,20310,1411998,280740,1692738,37583,14803,202,21,12251,1700,3829,2577,6383,2700,1415,745,427,59,85,81,18,406915,5420,440464,6013,478,20200615,204,26,14,16612,0,01,"4,5","8,7",163,"52,65%","30,18%","4,17%","6,01%","5,72%","1,27%",Blå blok
Kristendemokraterne,7357,4836,5580,632,1145,17616,22167,39783,5836,2491,22,1,494,13,22,49,18,148,149,54,46,7,15,23,4,22215,75,23049,73,26,20200615,49,04,08,1174,0,0,"0,1","3,3",37,"36,24%","30,87%","4,70%","10,07%","15,44%","2,68%",Blå blok
Liberal Alliance,163907,113470,132966,20175,10766,3028820,635231,3664051,69242,31232,46,6,6778,482,10659,299,1051,227,501,173,164,43,24,92,5,293854,7701,310957,9739,185,20200615,327,40,21,126201,0,01,"2,1","13,5",265,"34,53%","32,73%","8,58%","4,79%","18,36%","1,00%",Blå blok
Løsgænger,4639,2105,2948,1575,116,35942,3489,39431,77,0,17,3,85,33,541,47,135,2,45,18,12,7,6,2,0,23923,-291,23899,-301,4,20200615,103,35,03,5990,0,0,"3,0","1,9",66,"40,00%","26,67%","15,56%","13,33%","4,44%","0,00%",Andet
Moderaterne,1154,772,896,228,30,0,0,0,0,0,0,0,15,5,95,5,4,0,5,1,0,4,0,0,0,7190,-21,7235,-17,5,20200615,231,46,06,0,0,0,"0,8","3,0",179,"20,00%","0,00%","80,00%","0,00%","0,00%","0,00%",Blå blok
Nye Borgerlige,836722,588504,682426,83125,71171,6977044,1744333,8721377,20735,0,243,33,51137,3246,18476,2344,14314,4405,1151,509,221,53,72,282,14,280649,19333,332305,25161,113,20200615,727,72,62,96903,0,03,"12,4","44,4",593,"44,22%","19,20%","4,60%","6,26%","24,50%","1,22%",Blå blok
Radikale Venstre,154716,95248,118241,27191,9284,1591062,226366,1817428,73471,46852,127,15,10149,681,3152,3223,4719,1069,861,342,279,59,86,90,5,617349,2409,634163,3162,236,20200615,180,32,11,18501,0,0,"5,5","11,8",137,"39,72%","32,40%","6,85%","9,99%","10,45%","0,58%",Rød blok
